2024-04-10 16:46:22|P001|1
2024-04-10 16:58:21|P001|1
2024-04-10 21:33:51|P002|3
2024-04-10 21:42:55|P006|2
2024-04-10 21:54:19|P015|1
2024-04-10 21:54:39|P016|1
2024-04-10 21:55:05|P012|1
2024-04-10 21:55:13|P012|1
2024-04-10 22:00:32|P016|2
2024-04-10 22:00:56|P013|3
2024-04-10 22:03:22|P019|2
2024-04-10 22:03:35|P014|3
2024-04-10 22:08:53|P005|4
2024-04-10 22:12:51|P021|3
2024-04-10 22:12:56|P021|3
2024-04-10 22:22:48|P003|4
2024-04-10 22:29:01|P003|3
2024-04-13 01:35:43|P003|3
2024-04-13 15:10:14|P020|3
2024-04-19 13:37:40|P022|3
2024-04-19 13:40:34|P002|3
